user,name,gender,followers_millions,activity
BarackObama,Barack Obama,0,118,Politician
justinbieber,Justin Bieber,0,111,Musician
katyperry,Katy Perry,1,108,Musician
rihanna,Rihanna,1,96,Musician
taylorswift13,Taylor Swift,1,86,Musician
Cristiano,Cristiano Ronaldo,0,84,Athlete
realDonaldTrump,Donald Trump,0,82,Politician
ladygaga,Lady Gaga,1,81,Musician
TheEllenShow,Ellen DeGeneres,1,80,Comedian
ArianaGrande,Ariana Grande,1,74,Musician
KimKardashian,Kim Kardashian,1,65,Celebrity
jtimberlake,Justin Timberlake,0,64,Musician
selenagomez,Selena Gomez,1,61,Musician
narendramodi,Narendra Modi,0,57,Politician
britneyspears,Britney Spears,1,56,Musician
ddlovato,Team Demi,1,55,Musician
shakira,Shakira,1,52,Musician
jimmyfallon,Jimmy Fallon,0,51,Comedian
BillGates,Bill Gates,0,50,Businessman
neymarjr,Neymar,0,47,Athlete
KingJames,LeBron James,0,46,Athlete
JLo,Jennifer Lopez,1,45,Musician
MileyCyrus,Miley Cyrus,1,44,Musician
BrunoMars,Bruno Mars,0,43,Musician
Oprah,Oprah Winfrey,1,43,Celebrity
SrBachchan,Amitabh Bachchan,0,42,Actor
BeingSalmanKhan,Salman Khan,0,40,Actor
iamsrk,Shah Rukh Khan,0,40,Actor
Drake,Drake,0,39,Musician
NiallOfficial,Niall Horan,0,39,Musician
akshaykumar,Akshay Kumar,0,36,Actor
KevinHart4real,Kevin Hart,0,36,Comedian
wizkhalifa,Wiz Khalifa,0,36,Musician
imVkohli,Virat Kohli,0,35,Athlete
elonmusk,Elon Musk,0,34,Businessman
Harry_Styles,Harry Styles,0,34,Musician
LilTunechi,Lil Wayne,0,34,Musician
Louis_Tomlinson,Louis Tomlinson,0,33,Musician
LiamPayne,Liam Payne,0,33,Musician
aliciakeys,Alicia Keys,1,30,Musician
kanyewest,Kanye West,0,29,Musician
EmmaWatson,Emma Watson,1,29,Actor
HillaryClinton,Hillary Clinton,1,28,Politician
Adele,Adele,1,27,Musician
priyankachopra,PRIYANKA,1,26,Celebrity
kourtneykardash,Kourtney Kardashian,1,25,Celebrity
arrahman,A.R.Rahman,0,23,Musician
AnushkaSharma,Anushka Sharma,1,21,Celebrity
AvrilLavigne,Avril Lavigne,1,21,Musician
MariahCarey,Mariah Carey,1,21,Musician
davidguetta,David Guetta,0,21,Musician
NICKIMINAJ,Mrs. Petty,1,20,Musician
Shaq,Shaquille O'Neal,0,15,Athlete
jk_rowling,J.K. Rowling,1,15,Author
carmeloanthony,Carmelo Anthony,0,9,Athlete
icecube,Ice Cube,0,5.2,Musician
justdemi,Demi Moore,1,5,Actor
blakegriffin23,Blake Griffin,0,4,Athlete
drdre,Dr. Dre,0,2.9,Musician
RuthReichl,Ruth Reichl,1,1.2,Author
ryanlochte,Ryan Lochte,0,1,Athlete
kenyanpundit,Ory Okolloh,1,0.4,Executive
chamath,Chamath Palihapitiya,0,0.34,Entrepreneur
AdamMGrant,Adam Grant,0,0.32,Psychologist
emilynussbaum,emily nussbaum,1,0.26,Journalist
iSmashFizzle,Ashley C. Ford,1,0.19,Author
lissarankin,Lissa Rankin ,1,0.13,Physician
pistachio,Laura Fitton,1,0.13,Entrepreneur
susanmcp1,Susan McPherson,1,0.05,Entrepreneur
UnhealthyTruth,Robyn O'Brien,1,0.04,Entrepreneur
ShelbyKnox,Shelby Knox,1,0.04,Author
KellyMcGonigal,Kelly McGonigal,1,0.04,Psychologist
leila_c,Leila Chirayath Janah,1,0.03,Entrepreneur
aaker,Jennifer Aaker,1,0.03,Author
jennpozner,Jennifer Pozner,1,0.03,Journalist
JessieNYC,Jessie Daniels,1,0.02,Journalist
EmilyChang,Emily Chang,1,0.02,Designer
staceyannchin,Staceyann Chin,1,0.02,Author
VeronicaMcG,Veronica McGregor,1,0.02,Journalist
chefannc,Anne Cooper,1,0.01,Chef
Sloane,Sloane Berrent,1,0.01,Entrepreneur
GirlyGeekdom,Sarah Blow,1,0.01,Journalist
developingjen,Jenny Stefanotti,1,0.01,Entrepreneur